#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"117,226,972",,"1,546,774",,"112,495,424","2,475","3,184,774","7,777",,,,,,North America,,,,
,,Asia,,"191,837,456","11,043","1,483,992",11,"185,849,007","34,046","4,504,457","9,441",,,,,,Asia,,,,
,,Europe,,"231,472,374",,"1,930,226",,"223,821,678","28,976","5,720,470","10,053",,,,,,Europe,,,,
,,South America,,"64,258,279",,"1,331,402",,"62,569,289","1,078","357,588","10,185",,,,,,South America,,,,
,,Oceania,,"12,487,334",800,"21,282",,"12,302,503",,"163,549",92,,,,,,Australia/Oceania,,,,
,,Africa,,"12,659,402",,"257,741",,"11,997,978",31,"403,683","1,000",,,,,,Africa,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"629,942,538","11,843","6,571,432",11,"609,036,585","66,606","14,334,521","38,548","80,816",843.1,,,,All,,,,,,
1,USA,"98,850,125",,"1,090,536",,"96,168,353",,"1,591,236","2,593","294,942","3,254","1,123,834,919","3,353,221","335,150,851",North America,33070,,,"4,748",,
2,India,"44,630,337",,"528,895",,"44,073,308",,"28,134",698,"31,630",375,"897,877,536","636,335","1,411,014,280",Asia,"3,226,682",,,20,,
3,France,"36,258,607",,"155,816",,"35,008,719",,"1,094,072",869,"552,693","2,375","271,490,188","4,138,350","65,603,494",Europe,24210,,,"16,677",,
4,Brazil,"34,792,386",,"687,197",,"33,953,433",,"151,756","8,318","161,067","3,181","63,776,166","295,243","216,012,413",South America,63143,,,703,,
5,Germany,"34,608,835",,"151,420",,"32,891,600",,"1,565,815","1,406","410,077","1,794","122,332,384","1,449,504","84,396,040",Europe,25571,,,"18,553",,
6,S. Korea,"25,131,505","11,040","28,851",11,"24,711,795","30,814","390,859",248,"489,226",562,"15,804,065","307,652","51,369,980",Asia,"217,813",215,0.2,"7,609",,
7,UK,"23,798,793",,"191,681",,"23,420,948","6,154","186,164",146,"346,412","2,790","522,526,476","7,605,819","68,700,880",Europe,33580,,,"2,710",,
8,Italy,"23,099,983",,"177,988",,"22,368,981",,"553,014",252,"383,346","2,954","250,072,463","4,149,977","60,258,762",Europe,33390,,,"9,177",,
9,Japan,"21,757,595",,"45,870",,"20,451,226",,"1,260,499",121,"173,240",365,"76,201,407","606,737","125,592,241",Asia,"627,382",,,"10,036",,
10,Russia,"21,304,554",,"388,901",,"20,603,845",,"311,808","2,300","145,844","2,662","273,400,000","1,871,610","146,077,407",Europe,73761,,,"2,135",,
11,Turkey,"16,919,638",,"101,203",,"16,808,527","3,302","9,908",,"195,799","1,171","162,743,369","1,883,312","86,413,372",Asia,58541,,,115,,
12,Spain,"13,462,593",,"114,641",,"13,257,857",,"90,095",339,"287,686","2,450","471,036,328","10,065,708","46,796,147",Europe,34080,,,"1,925",,
13,Vietnam,"11,492,598",,"43,155",,"10,598,974",,"850,469",47,"115,689",434,"85,826,548","863,966","99,340,246",Asia,"923,021",,,"8,561",,
14,Australia,"10,310,525",800,"15,475",,"10,216,900",,"78,150",37,"393,890",591,"78,835,048","3,011,712","26,176,156",Australia/Oceania,"316,920",31,,"2,986",,
15,Argentina,"9,713,594",,"129,958",,"9,577,820",640,"5,816",279,"210,508","2,816","35,716,069","774,019","46,143,638",South America,53551,,,126,,
16,Netherlands,"8,476,062",,"22,721",,"8,382,859","1,383","70,482",39,"492,179","1,319","21,107,399","1,225,643","17,221,490",Europe,27581,,,"4,093",,
17,Iran,"7,554,333",,"144,519",,"7,329,143",,"80,671",119,"87,383","1,672","54,095,556","625,741","86,450,371",Asia,115982,,,933,,
18,Taiwan,"7,183,912",,"11,908",,"6,266,820",,"905,184",,"300,390",498,"27,039,789","1,130,650","23,915,257",Asia,"320,081",,,"37,850",,
19,Mexico,"7,102,947",,"330,277",,"6,375,138",,"397,532","4,798","53,798","2,502","18,523,417","140,298","132,028,927",North America,194007,,,"3,011",,
20,Indonesia,"6,456,868",,"158,313",,"6,281,342",,"17,213","2,771","23,049",565,"109,612,349","391,285","280,134,469",Asia,"4,317,693",,,61,,
21,Poland,"6,326,748",,"117,900",,"5,335,940",,"872,908","3,650","167,587","3,123","37,524,385","993,973","37,751,933",Europe,63201,,,"23,122",,
22,Colombia,"6,308,558",,"141,820",,"6,136,591",,"30,147",342,"121,033","2,721","36,654,229","703,232","52,122,496",South America,83681,,,578,,
23,Portugal,"5,509,424",,"25,125",,"5,434,604","1,797","49,695",61,"543,936","2,481","45,059,939","4,448,690","10,128,810",Europe,24030,,,"4,906",,
24,Austria,"5,340,548",,"20,926",,"5,188,819",,"130,803",47,"585,341","2,294","198,972,158","21,807,971","9,123,827",Europe,24360,,,"14,336",,
25,Ukraine,"5,177,217",,"109,206",,"5,061,704","6,305","6,307",177,"120,027","2,532","19,521,252","452,574","43,133,868",Europe,83952,,,146,,
26,Greece,"5,026,494",,"33,313",,"4,956,446","7,346","36,735",115,"487,687","3,232","95,536,498","9,269,268","10,306,801",Europe,23090,,,"3,564",,
27,Malaysia,"4,867,192",,"36,417",,"4,806,883",,"23,892",36,"146,101","1,093","64,999,917","1,951,135","33,313,897",Asia,79151,,,717,,
28,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,309",3,,,"26,036,957",Asia,"5,351,851",,,,,
29,Thailand,"4,685,047",,"32,829",,"4,647,275",,"4,943","1,496","66,738",468,"17,270,775","246,022","70,200,133",Asia,"1,521,384",,,70,,
30,Chile,"4,678,644",,"61,433",,"4,595,160",,"22,051",85,"240,038","3,152","45,649,778","2,342,068","19,491,226",South America,43170,,,"1,131",,
31,Israel,"4,672,731",,"11,712",,"4,655,156",,"5,863",90,"501,043","1,256","41,373,364","4,436,346","9,326,000",Asia,27960,,,629,,
32,Belgium,"4,586,564",,"32,776",,"4,480,219","1,405","73,569",68,"391,851","2,800","35,787,160","3,057,458","11,704,873",Europe,33570,,,"6,285",,
33,Canada,"4,293,273",,"45,689",,"4,175,402","2,475","72,182",99,"111,518","1,187","65,412,557","1,699,096","38,498,455",North America,98431,,,"1,875",,
34,Peru,"4,150,544",,"216,860",,"3,928,589",,"5,095",118,"121,997","6,374","35,462,029","1,042,333","34,021,774",South America,81571,,,150,,
35,Switzerland,"4,144,447",,"14,203",,"4,047,805","2,144","82,439",54,"470,999","1,614","22,476,990","2,554,417","8,799,264",Europe,26200,,,"9,369",,
36,Czechia,"4,140,848",,"41,380",,"4,081,720",,"17,748",60,"385,039","3,848","56,378,816","5,242,410","10,754,369",Europe,32600,,,"1,650",,
37,South Africa,"4,023,358",,"102,246",,"3,912,506",,"8,606",192,"65,937","1,676","26,174,429","428,963","61,017,944",Africa,155972,,,141,,
38,Philippines,"3,982,965",,"63,510",,"3,893,452",,"26,003",608,"35,274",562,"33,080,534","292,968","112,915,001",Asia,"2,817,783",,,230,,
39,Romania,"3,279,860",,"67,120",,"3,202,377",,"10,363",108,"173,128","3,543","25,299,718","1,335,451","18,944,700",Europe,62821,,,547,,
40,Denmark,"3,125,106",,"7,173",,"3,104,569",,"13,364",1,"535,230","1,229","128,522,038","22,011,699","5,838,806",Europe,28140,,,"2,289",,
41,Sweden,"2,604,866",,"20,407",,"2,559,774",810,"24,685",17,"254,303","1,992","19,010,468","1,855,916","10,243,171",Europe,45021,,,"2,410",,
42,Iraq,"2,460,868",,"25,356",,"2,435,048",,464,21,"58,196",600,"19,350,944","457,619","42,286,149",Asia,"1,716,682",,,11,,
43,Serbia,"2,388,554",,"17,134",,"2,339,848",,"31,572",19,"275,910","1,979","11,218,732","1,295,914","8,657,003",Europe,45051,,,"3,647",,
44,Hungary,"2,120,543",,"47,680",,"2,036,700",,"36,163",32,"220,790","4,964","11,394,556","1,186,398","9,604,329",Europe,52011,,,"3,765",,
45,Bangladesh,"2,032,443",,"29,401",,"1,974,208",,"28,834","1,331","12,066",175,"14,944,280","88,722","168,439,485",Asia,"83,572,911",,,171,,
46,Singapore,"2,012,065",,"1,644",,"1,914,596",,"95,825",13,"337,850",276,"24,548,641","4,122,016","5,955,494",Asia,"336,230",,,"16,090",,
47,Slovakia,"1,849,527",,"20,511",,"1,823,889",,"5,127",42,"338,389","3,753","7,318,390","1,338,971","5,465,683",Europe,32661,,,938,,
48,Hong Kong,"1,837,848",,"10,273",,"1,632,668",,"194,907",8,"240,682","1,345","66,284,763","8,680,577","7,635,986",Asia,47430,,,"25,525",,
49,New Zealand,"1,800,602",,"3,013",,"1,787,362",,"10,227",,"359,969",602,"7,544,063","1,508,179","5,002,100",Australia/Oceania,"316,601",,,"2,045",,
50,Georgia,"1,780,691",,"16,900",,"1,637,293",,"126,498",,"448,347","4,255","16,920,079","4,260,184","3,971,678",Asia,22350,,,"31,850",,
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"167,423","1,353","17,201,885","1,648,536","10,434,643",Asia,67391,,,179,,
52,Ireland,"1,668,301",,"7,952",,"1,653,429",313,"6,920",11,"329,453","1,570","12,744,275","2,516,713","5,063,857",Europe,36370,,,"1,367",,
53,Pakistan,"1,573,365",,"30,620",,"1,538,689",,"4,056",24,"6,820",133,"30,570,862","132,515","230,698,226",Asia,"14,775,348",,,18,,
54,Norway,"1,463,464",,"4,153",,"1,458,255",,"1,056",20,"265,211",753,"11,002,430","1,993,873","5,518,120",Europe,"413,291",,,191,,
55,Kazakhstan,"1,394,275",,"13,692",,"1,379,442",,"1,141",24,"72,279",710,"11,575,012","600,050","19,290,079",Asia,"1,414,092",,,59,,
56,Finland,"1,323,455",,"6,242",,"1,286,894","1,330","30,319",21,"238,015","1,123","11,581,841","2,082,921","5,560,384",Europe,48910,,,"5,453",,
57,Bulgaria,"1,270,081",,"37,784",,"1,221,079",,"11,218",46,"185,982","5,533","10,635,867","1,557,448","6,829,035",Europe,51811,,,"1,643",,
58,Morocco,"1,265,220",,"16,279",,"1,248,806",,135,293,"33,374",429,"12,626,023","333,048","37,910,564",Africa,"3,023,293",,,4,,
59,Lithuania,"1,261,596",,"9,360",,"1,235,080",,"17,156",7,"478,671","3,551","10,201,428","3,870,593","2,635,624",Europe,22820,,,"6,509",,
60,Croatia,"1,241,764",,"17,023",,"1,220,553",,"4,188",23,"306,800","4,206","5,315,060","1,313,182","4,047,466",Europe,32381,,,"1,035",,
61,Lebanon,"1,216,999",,"10,688",,"1,087,587",,"118,724",74,"180,145","1,582","4,795,578","709,862","6,755,650",Asia,66321,,,"17,574",,
62,Slovenia,"1,215,720",,"6,849",,"1,179,193",,"29,678",20,"584,596","3,293","2,755,972","1,325,247","2,079,591",Europe,23041,,,"14,271",,
63,Tunisia,"1,145,930",,"29,254",,N/A,N/A,N/A,101,"94,695","2,417","4,952,266","409,235","12,101,275",Africa,114142,,,552,,
64,Guatemala,"1,133,421",,"19,852",,"1,111,905",,"1,664",5,"60,698","1,063","6,002,800","321,466","18,673,219",North America,169413,,,89,,
65,Costa Rica,"1,127,602",,"8,974",,"860,711",,"257,917",52,"216,828","1,726","4,659,757","896,033","5,200,433",North America,55801,,,"49,595",,
66,Cuba,"1,111,258",,"8,530",,"1,102,651",,77,23,"98,247",754,"14,166,734","1,252,494","11,310,824",North America,"1,013,261",,,7,,
67,Bolivia,"1,108,948",,"22,237",,"1,060,326",,"26,385",220,"92,128","1,847","2,705,422","224,759","12,037,000",South America,115414,,,"2,192",,
68,UAE,"1,032,844",,"2,346",,"1,011,757",,"18,741",,"101,622",231,"192,968,317","18,986,318","10,163,546",Asia,"1,043,320",,,"1,844",,
69,Ecuador,"1,006,922",,"35,904",,"969,254",443,"1,764",759,"55,157","1,967","3,082,403","168,848","18,255,486",South America,185086,,,97,,
70,Nepal,"1,000,151",,"12,018",,"987,445",,688,,"32,970",396,"5,948,143","196,083","30,334,870",Asia,"3,025,245",,,23,,
71,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,276",754,"13,646,641","1,445,278","9,442,223",Europe,"913,271",,,141,,
72,Panama,"988,280",,"8,505",,"978,903",,872,16,"221,090","1,903","7,104,713","1,589,407","4,470,039",North America,55261,,,195,,
73,Uruguay,"987,563",,"7,501",,"978,972",,"1,090",18,"282,061","2,142","6,114,822","1,746,475","3,501,236",South America,44671,,,311,,
74,Mongolia,"983,958",,"2,179",,"980,685",,"1,094",192,"289,487",641,"4,030,048","1,185,665","3,398,977",Asia,"315,601",,,322,,
75,Latvia,"942,923",,"6,028",,"924,260",,"12,635",3,"512,847","3,279","7,704,267","4,190,276","1,838,606",Europe,23050,,,"6,872",,
76,Azerbaijan,"822,599",,"9,932",,"812,228",,439,,"79,493",960,"7,289,143","704,398","10,348,046",Asia,"1,310,421",,,42,,
77,Saudi Arabia,"818,837",,"9,381",,"805,463",,"3,993",34,"22,712",260,"44,445,197","1,232,764","36,053,288",Asia,"4,438,431",,,111,,
78,Paraguay,"717,260",,"19,596",,"697,361",,303,7,"97,815","2,672","2,657,506","362,413","7,332,803",South America,103743,,,41,,
79,Bahrain,"685,602",,"1,523",,"681,763",,"2,316",1,"373,249",829,"10,440,865","5,684,114","1,836,850",Asia,"312,060",,,"1,261",,
80,Sri Lanka,"670,921",,"16,769",,"654,122",,30,,"31,035",776,"6,486,117","300,028","21,618,397",Asia,"3,212,893",,,1,,
81,Kuwait,"660,667",,"2,564",,"657,113",,990,1,"149,643",581,"8,393,046","1,901,053","4,414,946",Asia,"717,221",,,224,,
82,Dominican Republic,"647,205",,"4,384",,"642,571",,250,4,"58,325",395,"3,657,057","329,567","11,096,544",North America,"1,725,313",,,23,,
83,Myanmar,"627,638",,"19,469",,"597,898",,"10,271",,"11,361",352,"9,056,450","163,937","55,243,352",Asia,"8,828,386",,,186,,
84,Palestine,"620,757",,"5,404",,"614,914",,439,17,"115,542","1,006","3,078,533","573,011","5,372,557",Asia,99942,,,82,,
85,Estonia,"604,380",,"2,713",,"524,990",,"76,677",7,"454,909","2,042","3,553,431","2,674,622","1,328,573",Europe,24900,,,"57,714",,
86,Cyprus,"593,542",,"1,189",,"584,124",,"8,229",60,"483,559",969,"9,640,118","7,853,809","1,227,445",Asia,"210,320",,,"6,704",,
87,Moldova,"591,853",,"11,870",,"504,142",,"75,841",49,"147,500","2,958","3,216,305","801,561","4,012,551",Europe,73381,,,"18,901",,
88,Venezuela,"545,323",,"5,820",,"538,936",,567,36,"19,302",206,"3,359,014","118,895","28,251,936",South America,"5,248,548",,,20,,
89,Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"4,831",231,"3,693,367","34,599","106,747,021",Africa,"207,433,729",,,458,,
90,Libya,"507,010",,"6,437",,"500,528",,45,101,"71,562",909,"2,482,490","350,393","7,084,878",Africa,"1,411,013",,,6,,
91,Ethiopia,"493,783",,"7,572",,"472,025",,"14,186",,"4,065",62,"5,289,299","43,542","121,474,729",Africa,"2,461,604,323",,,117,,
92,Réunion,"473,028",,896,,"418,572",,"53,560",10,"519,860",985,"1,603,660","1,762,430","909,914",Africa,"210,161",,,"58,863",,
93,Qatar,"461,980",,683,,"458,836",,"2,461",,"164,534",243,"3,999,927","1,424,574","2,807,805",Asia,"641,111",,,876,,
94,Honduras,"456,664",,"10,996",,N/A,N/A,N/A,105,"44,489","1,071","1,533,488","149,394","10,264,723",North America,229337,,,"30,505",,
95,Armenia,"444,482",,"8,700",,"432,811",,"2,971",,"149,361","2,923","3,220,025","1,082,035","2,975,896",Asia,73421,,,998,,
96,Bosnia and Herzegovina,"399,410",,"16,156",,"377,069",,"6,185",,"123,495","4,995","1,867,560","577,436","3,234,227",Europe,82002,,,"1,912",,
97,Oman,"398,424",,"4,260",,"384,669",,"9,495",2,"73,733",788,"25,000,000","4,626,556","5,403,587",Asia,"1,412,680",,,"1,757",,
98,North Macedonia,"343,585",,"9,551",,"333,707",,327,,"164,933","4,585","2,136,270","1,025,486","2,083,179",Europe,62181,,,157,,
99,Kenya,"338,578",,"5,678",,"332,837",,63,1,"5,995",101,"3,905,544","69,150","56,479,317",Africa,"167,994,714",,,1,,
100,Zambia,"333,624",,"4,017",,"329,544",,63,,"17,055",205,"3,740,005","191,194","19,561,265",Africa,"5,948,705",,,3,,
101,Albania,"332,638",,"3,591",,"327,444",,"1,603",,"115,877","1,251","1,941,032","676,172","2,870,620",Europe,97991,,,558,,
102,Botswana,"326,344",,"2,790",,"322,955",,599,1,"132,650","1,134","2,026,898","823,881","2,460,182",Africa,88821,,,243,,
103,Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"458,611","1,745","4,412,567","6,796,312","649,259",Europe,25730,,,"11,756",,
104,Montenegro,"281,835",,"2,784",,"278,224",,827,6,"448,605","4,431","2,638,575","4,199,894","628,248",Europe,22260,,,"1,316",,
105,Algeria,"270,740",,"6,881",,"182,360",,"81,499",,"5,929",151,"230,861","5,056","45,661,296",Africa,"1,696,636,198",,,"1,785",,
106,Nigeria,"265,937",,"3,155",,"259,259",,"3,523",11,"1,221",14,"5,441,162","24,980","217,821,693",Africa,"8,196,904,040",,,16,,
107,Zimbabwe,"257,893",,"5,606",,"251,904",,383,12,"16,793",365,"2,525,756","164,464","15,357,516",Africa,"6,027,396",,,25,,
108,Uzbekistan,"244,382",,"1,637",,"241,486",,"1,259",23,"7,068",47,"1,377,915","39,849","34,578,019",Asia,"1,412,112,325",,,36,,
109,Brunei ,"231,833",,225,,"222,140",,"9,468",3,"518,581",503,"717,784","1,605,590","447,053",Asia,"219,871",,,"21,179",,
110,Mozambique,"230,370",,"2,224",,"228,146",,0,11,"6,927",67,"1,371,127","41,227","33,257,805",Africa,"1,441,495,424",,,,,
111,Martinique,"222,830",,"1,047",,N/A,N/A,N/A,8,"594,848","2,795","828,928","2,212,835","374,600",North America,23580,,,"591,775",,
112,Laos,"216,101",3,758,,N/A,N/A,N/A,,"28,749",101,"1,233,207","164,058","7,516,898",Asia,"3,599,176",0.4,,"27,629",,
113,Kyrgyzstan,"206,250",,"2,991",,"196,406",,"6,853",131,"30,464",442,"1,907,195","281,702","6,770,264",Asia,"3,322,644",,,"1,012",,
114,Iceland,"205,963",,213,,N/A,N/A,N/A,2,"594,746",615,"1,996,384","5,764,831","346,304",Europe,"216,260",,,"375,580",,
115,El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,755",645,"2,610,114","397,823","6,560,989",North America,"3,315,513",,,"2,766",,
116,Afghanistan,"201,212",,"7,811",,"179,743",,"13,658","1,124","4,916",191,"1,120,246","27,368","40,932,825",Asia,"203,524,037",,,334,,
117,Guadeloupe,"195,593",,991,,N/A,N/A,N/A,19,"488,640","2,476","938,039","2,343,457","400,280",North America,24040,,,"480,544",,
118,Maldives,"185,125",,308,,"163,687",,"21,130",25,"329,223",548,"2,213,831","3,937,036","562,309",Asia,"318,260",,,"37,577",,
119,Trinidad and Tobago,"184,261",,"4,235",,"177,081",,"2,945",8,"130,696","3,004","842,716","597,738","1,409,842",North America,83332,,,"2,089",,
120,Ghana,"170,321",,"1,460",,"168,397",,464,2,"5,232",45,"2,511,658","77,149","32,555,858",Africa,"1,912,229,913",,,14,,
121,Uganda,"169,396",,"3,628",,"100,431",,"65,337",3,"3,454",74,"3,012,408","61,422","49,044,537",Africa,"2,901,351,816",,,"1,332",,
122,Namibia,"169,253",,"4,065",,"164,813",,375,,"63,963","1,536","1,062,663","401,595","2,646,103",Africa,166512,,,142,,
123,Jamaica,"151,931",,"3,320",,"99,392",,"49,219",,"50,801","1,110","1,183,986","395,889","2,990,699",North America,209013,,,"16,457",,
124,Cambodia,"137,965",,"3,056",,"134,839",,70,,"7,999",177,"3,071,982","178,108","17,247,880",Asia,"12,556,446",,,4,,
125,Rwanda,"132,528",,"1,467",,"131,027",,34,,"9,683",107,"5,841,019","426,777","13,686,339",Africa,"10,393,292",,,2,,
126,Cameroon,"121,652",,"1,935",,"118,616",,"1,101",13,"4,336",69,"1,751,774","62,437","28,056,749",Africa,"2,311,450,016",,,39,,
127,Malta,"115,013",,806,,"113,504",,703,4,"258,904","1,814","2,069,687","4,659,044","444,230",Europe,45510,,,"1,583",,
128,Angola,"103,131",,"1,917",,"101,155",,59,,"2,930",54,"1,499,795","42,603","35,204,279",Africa,"3,411,836,423",,,2,,
129,Barbados,"103,014",,560,,"102,024",,430,,"357,465","1,943","770,100","2,672,297","288,179",North America,35150,,,"1,492",,
130,French Guiana,"94,073",,410,,"11,254",,"82,409",3,"297,338","1,296","651,257","2,058,438","316,384",South America,37720,,,"260,471",,
131,DRC,"92,972",,"1,444",,"83,522",,"8,006",,971,15,"846,704","8,839","95,788,051",Africa,"103,066,335,113",,,84,,
132,Channel Islands,"92,884",,204,,"91,820",,860,,"523,214","1,149","1,252,808","7,057,040","177,526",Europe,28700,,,"4,844",,
133,Senegal,"88,555",,"1,968",,"86,486",,101,,"4,988",111,"1,146,543","64,584","17,752,853",Africa,"200,902,115",,,6,,
134,Malawi,"88,057",,"2,682",,"84,973",,402,67,"4,346",132,"618,640","30,535","20,260,246",Africa,"230,755,433",,,20,,
135,Ivory Coast,"87,598",,827,,"86,689",,82,,"3,143",30,"1,635,766","58,689","27,871,811",Africa,"3,183,370,217",,,3,,
136,Suriname,"81,131",,"1,385",,N/A,N/A,N/A,,"135,524","2,314","239,280","399,703","598,645",South America,74323,,,"50,305",,
137,French Polynesia,"76,706",,649,,N/A,N/A,N/A,7,"269,504","2,280",,,"284,619",Australia/Oceania,4439,,,"149,523",,
138,New Caledonia,"74,210",,314,,"73,884",,12,9,"254,343","1,076","98,964","339,184","291,771",Australia/Oceania,49293,,,41,,
139,Eswatini,"73,436",,"1,422",,"71,973",,41,,"61,835","1,197","1,045,903","880,671","1,187,620",Africa,168351,,,35,,
140,Guyana,"71,403",,"1,281",,"70,076",,46,,"89,790","1,611","698,638","878,541","795,225",South America,116211,,,58,,
141,Belize,"68,909",,686,,"68,197",,26,6,"166,395","1,656","576,016","1,390,906","414,130",North America,66041,,,63,,
142,Fiji,"68,248",,878,,"66,307",,"1,063",,"74,892",963,"663,351","727,925","911,290",Australia/Oceania,"1,310,381",,,"1,166",,
143,Madagascar,"66,687",,"1,410",,"65,267",,10,,"2,275",48,"512,993","17,497","29,318,753",Africa,"4,402,079,357",,,0.3,,
144,Sudan,"63,375",,"4,963",,"57,512",31,900,,"1,372",107,"562,941","12,187","46,190,108",Africa,"729,930,782",,,19,,
145,Mauritania,"63,110",,995,,"61,898",,217,,"12,804",202,"984,105","199,651","4,929,116",Africa,"7,849,545",,,44,,
146,Cabo Verde,"62,397",,410,,"61,923",,64,23,"109,509",720,"401,622","704,860","569,790",Africa,"913,901",,,112,,
147,Bhutan,"62,200",,21,,"61,564",,615,,"78,632",27,"2,303,734","2,912,329","791,028",Asia,"13,376,680",,,777,,
148,Syria,"57,334",,"3,163",,"54,156",,15,,"3,104",171,"146,269","7,918","18,472,706",Asia,"3,225,840,126",,,0.8,,
149,Burundi,"50,289",,38,,"50,104",,147,,"3,960",3,"345,742","27,222","12,700,628",Africa,"25,333,422,737",,,12,,
150,Gabon,"48,810",,306,,"48,353",,151,,"20,807",130,"1,618,431","689,923","2,345,813",Africa,"4,876,661",,,64,,
151,Seychelles,"47,141",,169,,"46,446",,526,,"472,648","1,694",,,"99,738",Africa,2590,,,"5,274",,
152,Andorra,"46,366",,155,,"46,087",,124,14,"597,908","1,999","249,838","3,221,762","77,547",Europe,25000,,,"1,599",,
153,Papua New Guinea,"45,199",,668,,"43,982",,549,7,"4,842",72,"249,149","26,691","9,334,490",Australia/Oceania,"2,071,397,437",,,59,,
154,Curaçao,"45,127",,282,,"44,720",,125,3,"272,463","1,703","496,693","2,998,883","165,626",North America,45870,,,755,,
155,Aruba,"42,914",,227,,"42,438",,249,2,"398,082","2,106","177,885","1,650,109","107,802",North America,34751,,,"2,310",,
156,Mauritius,"40,548",,"1,030",,"38,894",,624,,"31,763",807,"358,675","280,964","1,276,589",Africa,"3,112,394",,,489,,
157,Mayotte,"40,297",,187,,N/A,N/A,N/A,,"139,986",650,"176,919","614,590","287,865",Africa,"715,392",,,"129,040",,
158,Tanzania,"39,679",,845,,N/A,N/A,N/A,7,624,13,,,"63,624,887",Africa,"160,375,296",,,607,,
159,Togo,"39,252",,287,,"38,812",,153,,"4,500",33,"795,477","91,200","8,722,357",Africa,"2,223,039,111",,,18,,
160,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"441,640","1,348","150,753","1,751,699","86,061",Europe,27421,,,"128,955",,
161,Guinea,"37,950",,455,,"37,034",,461,8,"2,721",33,"660,107","47,329","13,947,338",Africa,"3,683,065,321",,,33,,
162,Bahamas,"37,334",,833,,"36,226",,275,2,"92,909","2,073","248,846","619,279","401,832",North America,114822,,,684,,
163,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,187",568,"778,000","15,785,095","49,287",Europe,"117,600",,,"546,534",,
164,Lesotho,"34,490",,706,,"25,980",,"7,804",,"15,813",324,"431,221","197,712","2,181,060",Africa,"6,330,895",,,"3,578",,
165,Haiti,"33,764",,857,,"31,434",,"1,473",,"2,881",73,"132,422","11,299","11,720,258",North America,"3,471,367,689",,,126,,
166,Mali,"32,709",,742,,"31,865",,102,,"1,515",34,"765,419","35,461","21,584,640",Africa,"6,602,909,028",,,5,,
167,Cayman Islands,"30,809",,34,,"8,553",,"22,222",1,"456,524",504,"222,773","3,301,025","67,486",North America,"219,850",,,"329,283",,
168,Saint Lucia,"29,550",,404,,"29,095",,51,,"159,261","2,177","210,983","1,137,099","185,545",North America,64591,,,275,,
169,Benin,"27,782",,163,,"27,464",,155,5,"2,162",13,"604,310","47,031","12,849,273",Africa,"4,637,883,021",,,12,,
170,Somalia,"27,223",,"1,361",,"13,182",,"12,680",,"1,610",80,"400,466","23,686","16,907,146",Africa,"6,211,242,342",,,750,,
171,Congo,"24,837",,386,,"24,006",,445,,"4,261",66,"347,815","59,673","5,828,641",Africa,"2,351,510,017",,,76,,
